Country,team_Name,team_ID,domestic_League_Name,domestic_League_ID,national_Cup_Name,national_Cup_ID,league_Cup_Name,league_Cup_ID
England,Arsenal,133604,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Aston Villa,133601,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Bournemouth,134301,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Brentford,134355,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Chelsea,133610,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Crystal Palace,133632,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Everton,133615,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Fulham,133600,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Ipswich Town,133622,English League Championship,4329,FA Cup,4424,EFL Cup,4426
England,Leicester City,133626,English League Championship,4329,FA Cup,4424,EFL Cup,4426
England,Liverpool,133602,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Manchester City,133613,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Manchester United,133612,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Newcastle United,134777,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Nottingham Forest,133720,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Southampton,134778,English League Championship,4329,FA Cup,4424,EFL Cup,4426
England,Tottenham Hotspur,133616,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,West Ham United,133636,English Premier League,4328,FA Cup,4424,EFL Cup,4426
England,Wolverhampton Wanderers,133599,English Premier League,4328,FA Cup,4424,EFL Cup,4426
France,Angers,134709,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
France,Auxerre,134788,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
France,Brest,133704,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
France,Le Havre,133862,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
France,Lens,133822,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
France,Lille,133711,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
France,Lyon,133713,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
France,Marseille,133707,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
France,Montpellier,133709,French Ligue 2,4401,Coupe de France,4430,Coupe de la Ligue,4432
France,Nantes,133861,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
France,Nice,133712,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
France,Paris Saint-Germain Handball,136776,French LNH Division 1,4536,Coupe de France,4430,Coupe de la Ligue,4432
France,Reims,144106,_No League Ice Hockey,4838,Coupe de France,4430,Coupe de la Ligue,4432
France,Rennes,133719,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
France,Strasbourg,133882,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
France,Toulouse,133703,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
Germany,Bayer Leverkusen,133666,German Bundesliga,4331,DFB Pokal,4425,,
Germany,Bayern Munich,133664,German Bundesliga,4331,DFB Pokal,4425,,
Germany,Bochum,133839,German 2. Bundesliga,4399,DFB Pokal,4425,,
Germany,Borussia Dortmund,133650,German Bundesliga,4331,DFB Pokal,4425,,
Germany,Borussia Mönchengladbach,134779,German Bundesliga,4331,DFB Pokal,4425,,
Germany,Eintracht Frankfurt,133814,German Bundesliga,4331,DFB Pokal,4425,,
Germany,FC Augsburg,133652,German Bundesliga,4331,DFB Pokal,4425,,
Germany,Freiburg,133653,German Bundesliga,4331,DFB Pokal,4425,,
Germany,Hoffenheim,133657,German Bundesliga,4331,DFB Pokal,4425,,
Germany,Holstein Kiel,136027,German 2. Bundesliga,4399,DFB Pokal,4425,,
Germany,Mainz,133665,German Bundesliga,4331,DFB Pokal,4425,,
Germany,RB Leipzig,134695,German Bundesliga,4331,DFB Pokal,4425,,
Germany,St Pauli,133813,German Bundesliga,4331,DFB Pokal,4425,,
Germany,Stuttgart,133660,German Bundesliga,4331,DFB Pokal,4425,,
Germany,Union Berlin,134690,German Bundesliga,4331,DFB Pokal,4425,,
Germany,Werder Bremen,133662,German Bundesliga,4331,DFB Pokal,4425,,
Germany,Wolfsburg,133655,German Bundesliga,4331,DFB Pokal,4425,,
Italy,AC Milan,133667,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Atalanta,134782,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Bologna,134781,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Cagliari,134783,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Como,134243,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Empoli,133695,Italian Serie B,4394,Coppa Italia,4431,,
Italy,Fiorentina,133674,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Genoa,133675,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Inter Milan,133681,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Juventus,133676,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Lazio,133668,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Lecce,133678,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Monza,134270,Italian Serie B,4394,Coppa Italia,4431,,
Italy,Napoli,133670,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Parma,135728,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Roma,133682,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Torino,133687,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Udinese,133679,Italian Serie A,4332,Coppa Italia,4431,,
Italy,Venezia,134234,Italian Serie B,4394,Coppa Italia,4431,,
Monaco,Monaco,133823,French Ligue 1,4334,Coupe de France,4430,Coupe de la Ligue,4432
Portugal,AVS,147479,Portuguese Primeira Liga,4344,Taca de Portugal,4433,Taca da Liga,4434
Portugal,Arouca,134387,Portuguese Primeira Liga,4344,Taca de Portugal,4433,Taca da Liga,4434
Portugal,Benfica,134108,Portuguese Primeira Liga,4344,Taca de Portugal,4433,Taca da Liga,4434
Portugal,Boavista,134588,_No League Soccer,4834,Taca de Portugal,4433,Taca da Liga,4434
Portugal,Braga,134098,Portuguese Primeira Liga,4344,Taca de Portugal,4433,Taca da Liga,4434
Portugal,Casa Pia,138864,Portuguese Primeira Liga,4344,Taca de Portugal,4433,Taca da Liga,4434
Portugal,FC Porto,134114,Portuguese Primeira Liga,4344,Taca de Portugal,4433,Taca da Liga,4434
Portugal,Famalicao,136854,Portuguese Primeira Liga,4344,Taca de Portugal,4433,Taca da Liga,4434
Portugal,Farense,138853,Portuguese LigaPro,4662,Taca de Portugal,4433,Taca da Liga,4434
Portugal,Gil Vicente,134113,Portuguese Primeira Liga,4344,Taca de Portugal,4433,Taca da Liga,4434
Portugal,Moreirense,134112,Portuguese Primeira Liga,4344,Taca de Portugal,4433,Taca da Liga,4434
Portugal,Rio Ave,134107,Portuguese Primeira Liga,4344,Taca de Portugal,4433,Taca da Liga,4434
Portugal,Santa Clara,136192,Portuguese Primeira Liga,4344,Taca de Portugal,4433,Taca da Liga,4434
Portugal,Sporting CP,135708,Portuguese Primeira Liga,4344,Taca de Portugal,4433,Taca da Liga,4434
